Year;Mileage;Price
2014;102359;13
2017;106812;13
2012;130673;13
2012;156;13
2003;156005;14
2011;131163;14
2008;214489;14
2015;88504;14
2018;92361;14
2013;95593;14
2014;112235;14
2013;107081;14
2010;843;14
2011;125058;14
2014;82276;14
2011;141049;14
2011;106252;14
2010;121242;14
2013;30269;14
2011;148401;14
2012;10695;14
2014;114584;14
2011;79508;14
2015;104015;14
2009;119847;14
2016;86292;14
2014;113107;14
2015;85076;14
2012;111;14
2012;89;14
2016;93603;14
2012;154255;14
2013;145;14
2016;29918;15
2018;92047;15
2014;41142;15
2016;16499;15
2014;112367;15
2014;103696;15
2016;85969;15
2015;67545;15
2002;112964;15
2011;122;15
2017;0;15
2013;145969;15
2012;1391;15
2014;51099;15
2010;96;15
2005;80;15
2015;42309;15
2018;107836;15
2002;887;15
2017;47561;15
2013;100429;15
2018;84204;15
2013;115;15
2016;6015;15
2008;141543;15
2012;110582;15
2010;117479;15
2010;115334;15
2011;7476;15
2016;60016;15
2012;108825;15
1997;49044;15
2012;70087;15
2016;55281;15
2007;186297;15
2016;36485;15
2015;109264;15
1984;63869;15
2017;107127;15
2013;109611;15
2014;90232;15
2018;0;16
2014;20536;16
2015;124392;16
2014;9677;16
2011;141;16
2014;6202;16
2019;51138;16
2017;8601;16
2014;11596;16
2013;103456;16
2016;73753;16
2016;59649;16
2015;93;16
2017;74534;16
2002;114414;16
2007;201222;16
2006;1828;16
2018;89767;16
2016;27875;16
2017;67;16
2017;84748;16
2012;1557;16
2016;67968;16
2013;68972;16
2012;103453;16
2014;53946;16
2017;62;16
2016;98629;16
2011;68585;16
2009;9679;16
2018;60431;16
2018;110211;16
2008;72505;16
2014;164244;16
2017;5423;16
2018;138803;16
2013;111614;16
2020;69022;16
2012;56179;16
2002;76;16
2016;59013;16
2014;42117;17
2013;134521;17
2017;7998;17
2019;8558;17
2012;44087;17
2015;98467;17
2017;69148;17
2019;75617;17
2015;88139;17
2017;49564;17
2018;96821;17
2013;148168;17
2017;71725;17
2013;189227;17
2013;89378;17
2020;34351;17
2017;35212;17
2019;80992;17
2015;169738;17
2015;798;17
2020;65458;17
2015;116561;17
2018;75545;17
2014;72317;17
2018;45586;17
2016;154573;17
2012;78056;17
2016;77497;17
2013;110;18
2018;87422;18
2015;75861;18
2011;76769;18
2014;133999;18
2019;89232;18
2017;45977;18
2015;81871;18
2014;96039;18
1958;25377;18
2016;49523;18
2005;171961;18
2007;133165;18
2019;31756;18
2013;70624;18
2017;33728;18
2009;12993;18
2020;24288;18
2017;6282;18
2016;71801;18
2016;71801;18
2017;93793;18
2020;32457;18
2018;46035;18
2017;41528;18
2012;85163;18
2017;57714;18
2015;695;18
2014;5205;18
2013;65733;18
2021;41931;18
2021;38897;18
2019;61089;18
2018;65935;18
2015;73;18
2019;58682;18
2018;47139;18
2020;1741;18
2016;68608;18
2020;66045;18
2019;32362;18
2015;97093;18
2006;145;18
2005;73249;18
2008;8637;18
2014;925;18
2012;95699;18
2015;70801;18
1998;220;18
2013;699;18
2016;106923;18
2019;56772;18
2016;7588;19
2016;83885;19
2019;14036;19
2022;12469;19
2020;37863;19
2018;98332;19
2014;75226;19
2022;15613;19
2015;59381;19
2017;93777;19
2018;77036;19
2015;40699;19
2017;115394;19
2015;83201;19
2017;167677;19
2014;8771;19
2016;73;19
2017;19223;19
2017;78727;19
2009;107648;19
1999;49049;19
2014;13193;19
2017;48448;19
2015;100113;19
2019;6487;19
2018;57526;19
2014;89519;19
2019;3853;19
2019;5443;19
2015;51136;19
2016;7425;19
2017;68578;19
2016;89116;19
2020;63394;19
2019;32264;19
2014;154849;19
2014;96728;19
2016;75298;19
2003;94509;19
2015;107289;19
2012;104758;19
2021;75226;19
2015;72093;19
2019;31987;19
2002;142205;20
2007;108;20
2014;112394;20
2018;1024;20
2016;97878;20
2019;86417;20
2020;77059;20
2018;43755;20
2015;88138;20
2018;60277;20
2016;69341;20
2019;30733;20
2014;41623;20
2018;22867;20
2014;100914;20
2012;68071;20
2009;149;20
2016;6273;20
2018;116742;20
2019;34059;20
2017;98719;20
2015;51439;20
2015;7978;20
2013;46914;20
2008;9375;20
2012;124811;20
2015;78435;20
2021;45125;20
2017;85027;20
2010;67199;20
2016;1378;20
2016;52181;20
2017;49332;20
2013;103988;20
2020;53771;20
2013;44;20
2020;65315;20
2014;54218;20
2021;65691;20
2016;45565;20
2020;62948;20
2021;3189;20
2011;299;20
2020;61918;20
2008;214461;20
2021;47561;20
2017;29262;20
1996;91;20
2018;72799;20
2016;85396;20
2020;72465;20
2014;97158;20
2017;113264;20
2014;10207;20
2017;68481;20
2015;123949;20
2019;112187;20
2017;65;20
2015;98587;20
2015;105235;20
2014;12681;20
1985;133543;20
2005;139616;20
2019;31607;20
2011;9915;20
2021;33759;20
2011;95824;21
2012;35297;21
2018;75;21
2017;99956;21
2021;52181;21
2022;3035;21
2018;34501;21
2017;63949;21
2015;146707;21
2020;40361;21
2016;111256;21
2020;15;21
2006;94241;21
2014;66664;21
2013;86;21
2019;49177;21
2020;60765;21
2018;74475;21
2017;68512;21
2022;27;21
2017;169284;21
2016;79083;21
2019;63433;21
2018;86444;21
2019;69354;21
2018;42592;21
2018;113161;21
2011;65102;21
2013;155896;21
2010;99322;21
2022;5473;21
2018;106381;21
2017;12305;21
2018;95695;21
2017;51974;21
2014;1135;21
2018;107378;21
2012;106562;21
2021;37185;21
2017;34714;21
2019;24111;21
2019;22663;21
2018;110665;21
2016;5264;21
2019;3336;21
2013;125;21
2021;48021;21
2020;1857;21
2019;92659;21
2018;46244;21
2017;79883;21
2011;97;21
2017;65564;21
2015;85478;21
2018;2266;21
2014;4527;21
2020;52305;21
2017;31512;21
2019;63267;21
2019;98906;21
2013;67825;21
2015;92795;22
2016;57391;22
2017;83327;22
2019;36149;22
2023;11;22
2022;920;22
2022;29575;22
2019;44259;22
2017;68593;22
2004;73;22
1986;66182;22
2021;65944;22
2021;41671;22
2017;67945;22
2015;57818;22
2019;70405;22
2019;31545;22
2016;111465;22
2018;34108;22
2017;122008;22
2015;43677;22
2022;29098;22
2017;93916;22
2019;26783;22
2018;76092;22
2010;35261;22
1998;11393;22
2019;73469;22
2018;6001;22
2016;51066;22
2015;82082;22
2022;17419;22
2009;98648;22
2016;112458;22
2014;81054;22
2017;83031;22
2015;558;22
2020;61007;22
2017;89642;22
2020;28496;22
2020;52518;22
2020;5958;22
2019;39936;22
2014;101149;22
2021;30332;22
2013;104965;22
2014;73311;22
2019;18903;22
2013;94103;22
2006;98;22
2019;33096;22
2016;88575;22
2018;58535;22
2021;23317;23
2020;34783;23
2010;49319;23
2018;66614;23
2017;61083;23
2016;41137;23
2021;22023;23
2018;60962;23
2008;72654;23
2017;81096;23
2020;5601;23
2021;31198;23
2014;113378;23
2018;103604;23
2018;6865;23
2017;37465;23
2018;84258;23
2020;37453;23
2017;83137;23
2019;19555;23
2005;203486;23
2018;60201;23
1986;586;23
2015;85713;23
2017;362;23
2020;67523;23
2022;2266;23
2021;35512;23
2015;727;23
2016;86224;23
2020;5;23
2020;25531;23
2018;103604;23
2016;74714;23
2020;46932;23
2015;85161;23
2016;4649;23
2020;44411;23
2016;108;23
2021;34722;23
1992;165353;23
2016;75;23
2017;76962;23
1990;179705;23
2018;90945;23
2018;63485;23
2016;75758;23
2019;70312;23
2015;82144;23
2015;67829;23
2021;48274;23
2018;10722;23
2012;67;23
1974;33092;23
2017;66752;23
2015;86313;23
2014;5657;24
2006;126;24
2017;128827;24
2018;5334;24
2017;648;24
2019;45246;24
2020;33201;24
2008;54488;24
2020;2541;24
2020;48079;24
2006;28994;24
2016;11166;24
2019;68346;24
2018;76718;24
2020;36978;24
2022;26359;24
2019;25425;24
2021;1692;24
2019;8211;24
2016;104229;24
2018;6875;24
2021;10696;24
2019;67468;24
2017;53644;24
2017;38149;24
2016;66249;24
2019;39612;24
2021;25276;24
2021;37162;24
2016;91251;24
2021;17237;24
2015;52733;24
2019;6077;24
2016;96497;24
2022;11152;24
2021;41197;24
2018;34138;24
2017;22068;24
2019;6653;24
2020;52567;24
2021;75887;24
2021;13105;24
2019;3813;24
2020;17117;24
2020;66616;24
2017;53;24
2015;100361;24
2022;14948;24
2021;41667;24
2013;11138;24
2018;64265;24
2018;4784;24
2017;67637;24
2018;18349;24
2018;38616;24
2018;55595;24
2016;73879;24
1973;38395;24
2015;71726;24
2019;21879;24
2015;64;24
2019;38438;24
2022;0;25
2020;45905;25
2023;0;25
2022;12094;25
2018;24841;25
2010;132885;25
2018;101937;25
2018;27604;25
2018;78867;25
2022;42089;25
2016;72357;25
2018;65407;25
2020;33081;25
2019;31005;25
2018;75988;25
2017;88269;25
2017;88269;25
2015;109219;25
2020;30548;25
2020;21295;25
2016;856;25
2016;74047;25
2016;83989;25
2019;50751;25
2019;52032;25
2023;0;25
1984;6916;25
2018;21711;25
2020;1216;25
2016;49591;25
2022;7154;25
2017;71276;25
2019;4677;25
2021;38184;25
2018;37106;25
2018;71662;25
2014;1143;25
2017;57316;25
2020;36789;25
2014;71441;25
2023;0;25
2015;66769;25
2020;65129;25
2017;43101;25
2014;72202;25
2019;16935;25
2020;3025;25
2015;885;25
2006;114273;25
2019;74524;25
2008;83002;25
2018;1235;25
2014;58692;25
2017;86855;25
2017;478;25
2019;56694;25
2015;88945;25
2019;39601;25
2021;9699;25
2015;75046;25
2019;42713;25
1995;221505;25
2012;13471;25
2021;42358;25
2020;34157;25
2018;48379;25
2017;86861;25
2014;57895;25
2017;123519;25
2020;24012;25
2014;57895;25
2019;19618;25
2022;24068;25
2015;40547;25
2018;3247;25
2013;55066;25
2014;67017;25
2004;139873;25
2017;17607;25
2013;925;25
2015;575;25
2017;83332;25
2015;77894;26
2022;19618;26
2014;83105;26
2022;14363;26
2015;55019;26
2016;53858;26
2017;3393;26
2020;31031;26
2019;63476;26
2017;40062;26
2012;7849;26
2016;63;26
2022;5312;26
2018;61597;26
2016;48987;26
2019;20562;26
2020;13278;26
2018;81036;26
2020;19463;26
2018;89798;26
2015;82198;26
2014;86101;26
2016;97954;26
2018;90049;26
2015;119929;26
2009;115309;26
2022;9231;26
2019;45601;26
2018;49814;26
2018;62081;26
2018;6073;26
2017;4188;26
2022;16149;26
1993;14776;26
2017;52146;26
2015;51465;26
2018;53316;26
2021;19301;26
2019;19153;26
2018;13298;26
2003;213;26
2018;60421;26
2017;24758;26
2023;0;26
2022;0;26
2017;83922;26
2021;2389;26
2023;0;26
2019;40083;26
2020;29929;26
2015;70919;26
2019;3558;26
2017;40064;26
2012;30517;26
2021;31778;26
2021;20798;26
2014;546;26
2015;68612;26
2020;10128;26
2021;1981;26
2021;48597;26
2018;12399;26
2016;62371;26
2019;4118;27
2019;33774;27
2018;33861;27
2020;45629;27
2020;14736;27
2020;65945;27
2023;0;27
2019;56543;27
2017;63077;27
2019;50261;27
2018;65151;27
2015;97;27
2019;28176;27
2019;24427;27
2017;94913;27
2016;75142;27
2013;83;27
2019;41033;27
1999;482;27
2019;45931;27
2020;35732;27
2020;28231;27
2019;67458;27
2019;9128;27
2019;37755;27
2019;37755;27
2017;4645;27
2012;90673;27
2015;85057;27
2015;9526;27
2013;106463;27
2017;119629;27
2022;8663;27
2016;12841;27
2017;118406;27
2017;735;27
2018;45866;27
2017;97529;27
2017;108;27
2018;51188;27
2014;98205;27
2017;81765;27
2017;60;27
2015;136743;27
2020;76492;27
2016;95631;27
2019;7284;27
2022;992;27
2018;47363;27
2019;32;27
2018;103;27
2022;11142;27
2019;42149;27
2019;107904;27
2018;33804;27
2020;45023;27
2023;527;27
2021;15202;27
1974;9397;27
2017;50797;27
2018;49694;27
2019;41333;27
2019;59887;27
2020;59994;27
2020;26797;27
2015;72021;27
2016;74203;27
2016;49378;27
2016;91575;27
1974;6368;27
1999;53876;28
2020;13553;28
2022;0;28
2021;1829;28
2020;37504;28
2019;38065;28
1999;77267;28
2016;69113;28
2019;15979;28
2013;832;28
2018;463;28
2018;56506;28
2019;26984;28
2019;28313;28
2015;4537;28
2018;115612;28
2018;33278;28
2023;0;28
2016;63774;28
2020;28666;28
2016;63755;28
2018;83253;28
2023;0;28
2019;21029;28
2019;86848;28
2014;7661;28
2018;21506;28
2018;50147;28
2019;2101;28
2017;157863;28
2019;60308;28
2022;17995;28
2022;0;28
1987;170483;28
2021;61372;28
2018;19564;28
2021;742;28
2017;81454;28
2019;28479;28
2018;58201;28
2020;17173;28
2021;20524;28
2006;109215;28
2016;39757;28
2021;33141;28
2019;27094;28
2021;25022;28
2015;43346;28
2020;381;28
2021;44584;28
2014;43451;28
2019;39231;28
2003;19425;28
2007;119143;28
2015;82959;28
2023;0;28
2016;132;28
2015;23809;28
2020;17033;28
2016;100169;28
2018;86773;28
2018;86773;28
2016;74427;28
2018;66036;28
2019;18065;28
2020;70116;28
2018;83601;28
2017;67119;28
2011;16054;28
2017;99902;28
2003;72467;28
2021;21586;28
2021;22321;28
2018;64247;28
2020;3646;29
2020;11596;29
2020;21293;29
2013;81;29
2020;1609;29
2020;22505;29
2015;78454;29
2015;84;29
2017;7665;29
2017;53823;29
2023;0;29
2013;139452;29
2019;54839;29
2021;18126;29
2020;49776;29
2020;72482;29
2020;1305;29
2019;8;29
2021;7561;29
2015;63496;29
2018;58495;29
2016;47507;29
2017;102351;29
2020;25298;29
2020;29073;29
2020;36948;29
2021;60702;29
1996;59251;29
2019;13165;29
2018;60643;29
2022;31016;29
2017;27859;29
2021;28845;29
2019;5625;29
2018;57258;29
2019;56542;29
2019;49655;29
2019;45819;29
2009;166;29
2021;31794;29
2021;11875;29
2017;69717;29
2020;14823;29
2019;3447;29
2021;34638;29
2021;10704;29
2019;246;29
2018;72542;29
2019;31106;29
2019;3093;29
2019;25794;29
2020;20469;29
2018;0;29
2020;39676;29
2015;75;29
2021;14908;29
2020;36146;29
2015;48371;29
2018;6185;29
2013;68288;29
2018;82404;29
2019;19142;29
2019;57211;29
2008;18544;29
2019;21516;29
2018;72865;29
2018;42512;29
2016;837;29
1980;40631;29
1985;51014;29
2020;55479;29
2018;60258;29
2016;56882;30
2018;42615;30
2016;70877;30
2019;29045;30
2023;0;30
2019;26825;30
2018;73816;30
2019;61667;30
2019;35635;30
2015;889;30
2022;11262;30
2015;94136;30
2020;47834;30
2020;11418;30
2019;43395;30
2022;3761;30
2019;102797;30
2019;39603;30
2019;36607;30
2011;81;30
2021;26546;30
2018;5706;30
2018;47833;30
2020;20121;30
2017;45091;30
2021;66748;30
2020;29459;30
2020;66177;30
2020;76279;30
2016;110418;30
2018;69;30
2019;37189;30
2019;19732;30
2008;64616;30
2019;5311;30
2017;53417;30
2019;63263;30
2019;19636;30
2020;1575;30
2017;21448;30
2017;12839;30
2014;53;30
2022;16701;30
2019;56399;30
2020;20252;30
2021;61314;30
2016;53;30
2013;67;30
2013;375;30
2014;79238;30
2017;63305;30
2023;0;30
2022;0;30
2016;82181;30
2019;33822;30
2020;3093;30
2022;925;30
2019;71;30
2012;90211;30
2019;372;30
2021;19844;30
2018;53334;30
2019;70017;30
2019;46308;30
2019;61531;30
2018;86793;30
2017;9216;30
2021;15268;30
2019;15994;30
2022;6073;30
2019;33665;30
2018;375;30
2018;16;30
2020;594;30
2017;17098;30
2020;85967;30
2022;10351;30
2019;51868;30
2019;25723;30
2015;101512;30
2020;21429;30
2020;21191;30
2022;13747;30
2019;57414;30
2016;79254;30
2006;585;30
2020;75362;30
2019;37;30
2020;75362;30
2015;80101;30
2018;65628;30
2021;25104;30
2019;56725;30
2019;2603;30
2019;28576;30
2021;41956;30
2020;977;30
2021;27794;30
2021;23824;30
2019;32983;31
2023;0;31
2018;23211;31
2020;20842;31
2021;35421;31
2013;1139;31
2018;595;31
2021;10285;31
2018;51;31
2019;22748;31
2019;17466;31
2019;32472;31
2023;0;31
2021;30958;31
2019;39138;31
2016;37406;31
2018;58065;31
2018;58065;31
2019;44052;31
2020;64368;31
2022;4129;31
2014;79804;31
2020;32601;31
2019;49479;31
2018;11833;31
2018;51229;31
2016;60255;31
2017;64244;31
2019;31267;31
2021;41149;31
2020;40595;31
2017;5579;31
2023;0;31
2020;51091;31
2018;114;31
2017;82209;31
2017;68588;31
2016;102726;31
2021;187;31
2019;29649;31
2021;47947;31
2018;27085;31
2018;58895;31
2019;2219;31
2022;8012;31
2020;49822;31
1965;408;31
2020;75837;31
2018;283;31
2020;82999;31
2019;60445;31
2020;43201;31
2019;82568;31
2022;762;31
2018;81;31
2018;95346;31
2019;38273;31
2016;82648;31
2020;70288;31
2023;0;31
2020;18975;31
2021;2757;31
2020;58251;31
2020;27387;31
2020;49;31
2018;17436;31
2019;2765;31
2019;38269;31
2018;78;31
2019;24184;31
2021;15478;31
2018;51406;31
2020;35976;31
2018;16351;31
2020;3485;31
2019;22208;31
2015;8835;31
2018;19;31
2018;39634;31
1964;69921;31
2019;62487;31
2016;57;31
2019;51603;31
2010;67;31
2019;57506;31
2019;18738;31
2020;26436;31
2016;77697;31
2019;5067;32
2022;0;32
2019;15913;32
2020;3166;32
2019;50249;32
2019;63956;32
2021;23968;32
2016;37665;32
2020;70087;32
2021;62396;32
2020;67062;32
2020;76435;32
2015;76873;32
2015;717;32
2019;33518;32
2012;125514;32
2022;22;32
2016;75698;32
2019;366;32
2022;3156;32
2021;18361;32
2015;48018;32
2019;39111;32
2008;55707;32
2017;80701;32
2021;11223;32
2014;95691;32
2017;79923;32
2022;19116;32
2018;85;32
2022;2468;32
2022;14037;32
2022;2823;32
2017;52384;32
2020;29391;32
2023;1078;32
2020;40369;32
2020;39341;32
2021;47899;32
2019;32152;32
2019;26419;32
2016;33102;32
2015;87172;32
2016;4479;32
2019;28538;32
2006;14923;32
2017;56383;32
2019;33143;32
2017;115915;32
2019;50305;32
2020;41613;32
2022;19331;32
2020;40836;32
2019;66154;32
2020;53984;32
2020;3139;32
2020;51001;32
2022;11318;32
2016;74857;32
2018;68533;32
2020;62096;32
2018;6885;32
2006;14923;32
2021;2152;32
2015;20948;32
2017;45734;32
2020;6438;32
2019;47674;32
2020;54293;32
2006;85233;32
2018;341;32
2018;55;32
2019;21561;32
2017;49475;32
2019;33235;32
2019;50238;32
2020;53341;32
2019;45157;32
2017;43326;32
2019;66656;32
2019;45157;32
2020;71157;32
2020;2683;32
2019;51712;32
2017;631;32
2021;52473;32
2018;75815;32
2019;78614;32
2019;43388;32
2018;61205;32
2021;39886;33
2019;28422;33
2019;53;33
2019;31197;33
2018;60749;33
2018;70;33
2023;20298;33
2015;39015;33
2018;70673;33
2020;1587;33
2019;53626;33
2016;66081;33
2022;7455;33
2019;26758;33
2017;54328;33
2021;22004;33
2020;20512;33
2018;26181;33
2019;42437;33
2016;65515;33
2017;6486;33
2021;18223;33
2020;3625;33
2023;0;33
2019;32453;33
2018;30478;33
2014;85;33
1968;75562;33
2020;17083;33
2023;0;33
2019;34396;33
2017;124294;33
2020;39848;33
2020;19998;33
2019;12688;33
2020;35177;33
2010;1303;33
2020;36257;33
2020;66345;33
2021;12471;33
2015;59797;33
2022;2687;33
1957;32381;33
2016;66081;33
2021;15327;33
2018;41504;33
2021;29505;33
2019;2617;33
2019;36557;33
2020;138;33
2019;44118;33
2016;4706;33
2018;73159;33
2019;24273;33
2019;30915;33
1949;83885;33
2019;4105;33
2020;75299;33
2020;75299;33
2019;37943;33
2021;13656;33
2019;25786;33
2019;25786;33
2022;12179;33
2018;30925;33
2017;78081;33
2018;31422;33
2018;52978;33
2019;18207;33
2018;55244;33
2019;27867;33
2023;0;33
2019;23381;33
2020;41225;33
2018;61145;33
2022;2018;33
2018;67983;33
2019;31891;33
2020;46306;33
2018;33257;33
2018;33257;33
2019;49681;33
2016;29188;33
2021;33968;33
2015;49472;33
2015;53;34
2020;23865;34
2018;5205;34
2016;58334;34
2022;0;34
2021;26842;34
2019;35683;34
2018;73882;34
2015;91404;34
2021;4093;34
2014;30093;34
2015;60743;34
2013;63297;34
2016;83;34
2018;40016;34
2020;14881;34
2020;43484;34
2016;51922;34
2019;39858;34
1963;74848;34
2020;49456;34
2021;17462;34
2021;9531;34
2020;28315;34
2020;44722;34
2019;54484;34
2018;49058;34
2018;45826;34
2019;61348;34
2018;58803;34
2020;45339;34
1993;30539;34
2019;39992;34
2021;5794;34
2019;38266;34
2019;40292;34
2020;17829;34
2019;38505;34
2019;49153;34
2016;25236;34
2021;23679;34
2019;21;34
2019;26176;34
2021;47884;34
2020;16467;34
2018;4735;34
2021;28378;34
1999;33858;34
2019;19384;34
2019;65583;34
2019;36294;34
2020;25304;34
2018;56752;34
2020;35006;34
2019;41585;34
2020;39978;34
2022;525;34
2019;25168;34
2019;25168;34
2020;20406;34
2013;87072;34
2019;18527;34
2006;54305;34
2019;60242;34
2019;58535;34
2020;41;34
2011;4815;34
2020;2766;34
2019;29567;34
2020;31643;34
2017;35701;34
2018;60899;34
2020;46049;35
2019;41477;35
2017;60898;35
2020;41473;35
2023;0;35
2022;16932;35
2019;32635;35
2019;60;35
2018;61606;35
2020;56;35
2018;59787;35
2021;53895;35
2018;31207;35
2016;50335;35
2020;15564;35
2016;65069;35
2019;6905;35
2015;110;35
2022;0;35
1972;827;35
2018;41673;35
2016;6896;35
2023;0;35
2010;109669;35
2015;78344;35
2018;478;35
2019;15163;35
2018;34282;35
2005;125;35
2020;26301;35
2019;41979;35
2021;53932;35
2019;89539;35
2022;12904;35
2020;18023;35
2019;27886;35
2015;38752;35
2021;13724;35
2015;64118;35
2017;68824;35
2000;55;35
2020;66225;35
2020;23429;35
2019;41092;35
2020;2861;35
2019;58308;35
2020;29876;35
2019;35081;35
2019;39766;35
2018;68432;35
2017;36867;35
2018;49766;35
2018;78688;35
2020;24018;35
2005;108839;35
2018;24101;35
2021;12204;35
2022;0;35
2019;29055;35
2017;61388;35
2019;3746;35
2020;65504;35
2019;30799;35
2019;23594;35
2019;21691;35
2019;36493;35
2019;19999;35
2020;23998;35
2021;2614;35
2019;17011;35
2020;515;35
2019;19816;35
2013;44584;35
2022;907;35
2020;24584;35
2020;267;35
2015;88;35
2018;62658;35
2002;16813;35
2020;0;35
2017;46062;35
2022;10039;35
2019;21579;35
2021;27613;35
2020;1522;35
2020;31463;35
2018;109692;35
2020;20479;35
2021;1236;35
2020;2235;35
2018;29208;35
2016;69077;35
2019;18445;35
2018;3882;35
2018;3882;35
2022;106;35
2018;41759;35
2019;50;35
2019;61875;35
1990;20268;35
2020;45511;35
2019;57773;35
2021;35143;35
2019;19733;35
2020;45853;35
2023;0;35
2017;80073;35
2017;3325;35
2022;0;35
2019;3931;35
2019;22458;35
2016;83;35
2022;18327;36
2021;14413;36
2021;14413;36
2020;63434;36
2018;38631;36
2020;4765;36
2020;11695;36
2023;2015;36
2020;31509;36
2019;15379;36
2020;71923;36
2021;44944;36
2020;48286;36
2021;16357;36
2020;48481;36
2018;28827;36
2019;19635;36
2020;5212;36
2020;22564;36
2021;18781;36
2021;28492;36
2020;42992;36
2016;4985;36
2016;63512;36
2016;63512;36
2007;15325;36
2017;33448;36
2019;35393;36
2021;20533;36
2017;17605;36
2018;415;36
2020;13599;36
2021;203;36
2021;44875;36
2020;26928;36
2018;61294;36
2015;8489;36
2021;4042;36
2021;1036;36
2003;111788;36
2020;11808;36
2019;31119;36
1999;40;36
2020;39145;36
2019;25637;36
2008;45151;36
2018;685;36
2018;27957;36
2020;27155;36
2018;36005;36
2021;1365;36
2019;55366;36
2018;51574;36
2021;8816;36
2018;43821;36
2018;58898;36
2019;25288;36
2015;8211;36
2019;85156;36
2020;25516;36
2020;25703;36
2018;21458;36
2017;93176;36
2022;28688;36
2020;31592;36
2020;3328;36
2019;59275;36
2019;37527;36
2020;16516;36
2020;28345;36
2013;3875;37
2021;1849;37
2018;45129;37
2021;11809;37
2018;405;37
2020;23297;37
2020;16309;37
2018;54;37
2021;13591;37
2022;0;37
2019;41173;37
2021;57335;37
2021;37133;37
2020;22774;37
2020;24736;37
2020;21254;37
2019;306;37
2013;61749;37
2021;10715;37
2018;45986;37
2020;28011;37
2023;0;37
2021;19817;37
2020;8298;37
2020;4449;37
2021;11731;37
2018;20914;37
2021;22578;37
2021;3221;37
2022;4615;37
2022;0;37
2020;13253;37
2021;36168;37
2020;13271;37
2018;97497;37
2019;21493;37
2017;109457;37
2021;21539;37
2016;40;37
2020;34599;37
2015;88744;37
2020;392;37
2018;38984;37
2019;3904;37
2021;24312;37
2018;69;37
2020;47104;37
2021;23;37
2019;58545;37
2020;17473;37
2019;28547;37
2006;3174;37
2021;13112;37
2019;841;37
2022;9047;37
2020;65661;37
1988;73215;37
2021;19635;37
2019;248;37
2007;71524;37
2019;26376;37
2020;26438;37
2020;13514;37
2022;3409;37
2020;26438;37
2020;13514;37
2020;11016;37
2021;19936;37
2019;30149;37
2020;21322;37
2019;30149;37
2018;29003;37
2018;15271;37
2020;38997;37
2019;25283;37
2020;44508;37
2020;41952;37
2020;43619;37
2022;9385;37
2019;54444;37
2021;20655;38
2015;37464;38
2020;18091;38
2020;20989;38
2019;43953;38
2021;25923;38
2019;24411;38
2021;39836;38
2014;36;38
2021;19532;38
2019;8773;38
2022;0;38
2021;14628;38
2022;7798;38
2020;31633;38
2016;27808;38
2020;26322;38
2021;15231;38
2014;84986;38
2020;19568;38
2023;0;38
2021;956;38
2021;20065;38
2021;17508;38
2020;15049;38
2020;25748;38
2020;19114;38
2020;3917;38
2021;24515;38
2019;167;38
